"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Gloria Dei Church National Historic Site"|"1888924"|"Park"|"Philadelphia"|"PA"|"395602N"|"0750839W"|"16"|"Philadelphia"|""|"06-NOV-2000"
"Gold Star Park"|"2741617"|"Park"|"Philadelphia"|"PA"|"395559N"|"0750919W"|"26"|"Philadelphia"|""|"11-OCT-2012"
"Gorgas Park"|"1175841"|"Park"|"Philadelphia"|"PA"|"400213N"|"0751316W"|"312"|"Germantown"|""|"02-AUG-1979"
"Granahan Playground"|"2741623"|"Park"|"Philadelphia"|"PA"|"395809N"|"0751501W"|"171"|"Lansdowne"|""|"11-OCT-2012"
"Gray's Ferry Crescent"|"2741627"|"Park"|"Philadelphia"|"PA"|"395635N"|"0751209W"|"7"|"Philadelphia"|""|"11-OCT-2012"
"Haddington Park (historical)"|"2347759"|"Park"|"Philadelphia"|"PA"|"395758N"|"0751400W"|"112"|"Philadelphia"|""|"23-AUG-2007"
"Hagert Playground"|"2741631"|"Park"|"Philadelphia"|"PA"|"395901N"|"0750742W"|"26"|"Philadelphia"|""|"11-OCT-2012"
"Hamilton Plaza"|"2741632"|"Park"|"Philadelphia"|"PA"|"400033N"|"0750818W"|"112"|"Germantown"|""|"11-OCT-2012"
"Hancock Playground"|"2741633"|"Park"|"Philadelphia"|"PA"|"395822N"|"0750815W"|"23"|"Philadelphia"|""|"11-OCT-2012"
"Happy Hollow Playground"|"2740996"|"Park"|"Philadelphia"|"PA"|"400126N"|"0751000W"|"197"|"Germantown"|""|"01-OCT-2012"
"Harpers Hollow Park"|"1176566"|"Park"|"Philadelphia"|"PA"|"400231N"|"0750902W"|"184"|"Germantown"|""|"02-AUG-1979"
"Harrowgate Park"|"1175484"|"Park"|"Philadelphia"|"PA"|"395957N"|"0750622W"|"33"|"Camden"|""|"02-AUG-1979"
"Hart Playground"|"2741634"|"Park"|"Philadelphia"|"PA"|"395818N"|"0750834W"|"23"|"Philadelphia"|""|"11-OCT-2012"
"Hawthorne Park"|"2741635"|"Park"|"Philadelphia"|"PA"|"395626N"|"0750945W"|"30"|"Philadelphia"|""|"11-OCT-2012"
"Hawthorne Playground"|"2741636"|"Park"|"Philadelphia"|"PA"|"395619N"|"0750949W"|"26"|"Philadelphia"|""|"11-OCT-2012"
"Hayes Playground"|"1207968"|"Park"|"Philadelphia"|"PA"|"400529N"|"0750113W"|"154"|"Frankford"|""|"01-MAR-1990"
"Hedge Street Park"|"2741637"|"Park"|"Philadelphia"|"PA"|"400050N"|"0750459W"|"56"|"Frankford"|""|"11-OCT-2012"
"Heitzman Playground"|"2741638"|"Park"|"Philadelphia"|"PA"|"395952N"|"0750554W"|"30"|"Camden"|""|"11-OCT-2012"
"Heritage Park Playground"|"2741639"|"Park"|"Philadelphia"|"PA"|"400003N"|"0750920W"|"98"|"Germantown"|""|"11-OCT-2012"
"Herron Playground"|"2741640"|"Park"|"Philadelphia"|"PA"|"395551N"|"0750855W"|"16"|"Philadelphia"|""|"11-OCT-2012"
"Hetzell Playground"|"2741641"|"Park"|"Philadelphia"|"PA"|"395820N"|"0750752W"|"30"|"Philadelphia"|""|"11-OCT-2012"
"Hissey Center"|"1207916"|"Park"|"Philadelphia"|"PA"|"395940N"|"0750723W"|"39"|"Camden"|""|"01-MAR-1990"
"Historic Rittenhouse Town"|"1197508"|"Park"|"Philadelphia"|"PA"|"400144N"|"0751106W"|"194"|"Germantown"|""|"30-AUG-1990"
"Holme Crispin Park"|"2741643"|"Park"|"Philadelphia"|"PA"|"400327N"|"0750113W"|"75"|"Frankford"|""|"11-OCT-2012"
"Holme Playground"|"2741644"|"Park"|"Philadelphia"|"PA"|"400323N"|"0750037W"|"66"|"Frankford"|""|"11-OCT-2012"
"Holmesburg Playground"|"2741645"|"Park"|"Philadelphia"|"PA"|"400210N"|"0750138W"|"62"|"Frankford"|""|"11-OCT-2012"
"Houseman Playground"|"2741647"|"Park"|"Philadelphia"|"PA"|"400145N"|"0750537W"|"98"|"Frankford"|""|"11-OCT-2012"
"Howard and Reed Park"|"2741648"|"Park"|"Philadelphia"|"PA"|"395549N"|"0750849W"|"10"|"Philadelphia"|""|"11-OCT-2012"
"Howell Park"|"2741649"|"Park"|"Philadelphia"|"PA"|"400151N"|"0751007W"|"243"|"Germantown"|""|"11-OCT-2012"
"Hunting Park"|"1208079"|"Park"|"Philadelphia"|"PA"|"400101N"|"0750837W"|"115"|"Germantown"|""|"01-APR-1990"
"Independence Mall State Park"|"1177724"|"Park"|"Philadelphia"|"PA"|"395707N"|"0750858W"|"36"|"Philadelphia"|""|"02-AUG-1979"
"Independence National Historical Park"|"1177725"|"Park"|"Philadelphia"|"PA"|"395706N"|"0750858W"|"36"|"Philadelphia"|""|"02-AUG-1979"
"Independence Visitor Center"|"2044558"|"Park"|"Philadelphia"|"PA"|"395704N"|"0750900W"|"33"|"Philadelphia"|""|"23-AUG-2004"
"Irish Memorial"|"2741650"|"Park"|"Philadelphia"|"PA"|"395652N"|"0750831W"|"33"|"Philadelphia"|""|"11-OCT-2012"
"J Finnegan Playground"|"2349610"|"Park"|"Philadelphia"|"PA"|"395454N"|"0751356W"|"26"|"Philadelphia"|""|"23-AUG-2007"
"Jacobs Playground"|"2741665"|"Park"|"Philadelphia"|"PA"|"400305N"|"0750009W"|"75"|"Frankford"|""|"12-OCT-2012"
"James Allen Shuler Playground"|"2741841"|"Park"|"Philadelphia"|"PA"|"400005N"|"0751029W"|"151"|"Germantown"|""|"17-OCT-2012"
"James Ramp Memorial Recreation Center (historical)"|"1207930"|"Park"|"Philadelphia"|"PA"|"400256N"|"0750129W"|"75"|"Frankford"|""|"01-MAR-1990"
"Jardel Playground"|"1207964"|"Park"|"Philadelphia"|"PA"|"400321N"|"0750437W"|"135"|"Frankford"|""|"01-MAR-1990"
"Jefferson Playground"|"2741666"|"Park"|"Philadelphia"|"PA"|"395846N"|"0751104W"|"79"|"Philadelphia"|""|"12-OCT-2012"
"Jefferson Square"|"1178025"|"Park"|"Philadelphia"|"PA"|"395600N"|"0750902W"|"26"|"Philadelphia"|""|"02-AUG-1979"
"Jerome Brown Playground"|"2741667"|"Park"|"Philadelphia"|"PA"|"400023N"|"0750941W"|"131"|"Germantown"|""|"12-OCT-2012"
"John F Kennedy Plaza"|"2741668"|"Park"|"Philadelphia"|"PA"|"395715N"|"0750957W"|"36"|"Philadelphia"|""|"12-OCT-2012"
"John Heinz National Wildlife Refuge at Tinicum"|"2765350"|"Park"|"Delaware"|"PA"|"395251N"|"0751627W"|"0"|"Lansdowne"|""|"08-MAR-2015"
